,0,1,2,3,4
0,0.5319148936170213,0.5304899257311683,0.5329004329004329,0.5319148936170213,
1,0.524822695035461,0.522254838728136,0.5318031430934658,0.524822695035461,
2,0.46099290780141844,0.43293123632106684,0.43209067785986666,0.46099290780141844,
3,0.5319148936170213,0.5197596663952426,0.5240778688524591,0.5319148936170213,
4,0.5,0.4941816726690677,0.49869710243286575,0.5,
5,0.5214285714285715,0.5149712192569336,0.5190765716189444,0.5214285714285715,
6,0.6142857142857143,0.6092139077853362,0.6153694581280788,0.6142857142857143,
7,0.5142857142857142,0.5125680668537811,0.5123876123876124,0.5142857142857142,
8,0.5785714285714286,0.5712294976200034,0.5795743451463791,0.5785714285714286,
9,0.5357142857142857,0.5280501699787339,0.5305336565801683,0.5357142857142857,
Accuracy,,,,,0.5313931104356635
F1score,,,,,0.523565020133947
Precision,,,,,0.5276510869000274
Recall,,,,,0.5313931104356635
