,0,1,2,3,4
0,0.6182688832670763,0.6167650044975207,0.6156313432695862,0.6182688832670763,
1,0.615739067582219,0.6183057761302547,0.6219648416278549,0.615739067582219,
2,0.6231478135164438,0.6236616440843445,0.6242206398210182,0.6231478135164438,
3,0.6173653776653415,0.6183325157736475,0.6194435007156047,0.6173653776653415,
4,0.6326346223346585,0.6344718033748428,0.6369784993980163,0.6326346223346585,
5,0.6288398988073726,0.6298624858715631,0.6310933253170099,0.6288398988073726,
6,0.6374807987711214,0.6389908270903463,0.6408865596638498,0.6374807987711214,
7,0.6267281105990783,0.6274853787481646,0.6284709446919323,0.6267281105990783,
8,0.6105538989789464,0.6122727807483795,0.6146629851008681,0.6105538989789464,
9,0.6253727297370562,0.626738736630005,0.6284063992589117,0.6253727297370562,
Accuracy,,,,,0.6236131201259314
F1score,,,,,0.6246886952949069
Precision,,,,,0.6261759038864654
Recall,,,,,0.6236131201259314
