,0,1,2,3,4
0,0.7190565643915675,0.7179926775791622,0.7211664290859633,0.7190565643915675,
1,0.7693592151951576,0.7693845404121197,0.7710469947000135,0.7693592151951576,
2,0.7797954498017116,0.7796176770529752,0.7818599210520559,0.7797954498017116,
3,0.7989981214777708,0.798973768859266,0.8023891241578872,0.7989981214777708,
4,0.8246712586098935,0.8236643702382722,0.8256887768043413,0.8246712586098935,
5,0.8090169067000627,0.8082984104504932,0.8107013110888729,0.8090169067000627,
6,0.8192444166144855,0.8189369283388349,0.822245938255131,0.8192444166144855,
7,0.8119390523898977,0.8113062962252976,0.8130236684923092,0.8119390523898977,
8,0.8267585055312043,0.8265671765369696,0.8280365864730973,0.8267585055312043,
9,0.825714882070549,0.8251128222284432,0.8266625209738638,0.825714882070549,
Accuracy,,,,,0.79845543727823
F1score,,,,,0.7979854667921834
Precision,,,,,0.8002821271083537
Recall,,,,,0.79845543727823
