,0,1,2,3,4
0,0.6563169164882227,0.6571440642955154,0.6581210665615744,0.6563169164882227,
1,0.6236616702355461,0.6247895922732793,0.6262162500432632,0.6236616702355461,
2,0.6331905781584583,0.6320657395009455,0.6314578314510838,0.6331905781584583,
3,0.6276231263383297,0.6288363683465282,0.6307088980502378,0.6276231263383297,
4,0.6133832976445396,0.6147994974067927,0.6167664614979695,0.6133832976445396,
5,0.6407922912205567,0.6378345679477092,0.6377666146265825,0.6407922912205567,
6,0.6258700074954492,0.6242837981879364,0.623384605134231,0.6258700074954492,
7,0.6451440197023236,0.6415216748689554,0.6404122437916256,0.6451440197023236,
8,0.6378627262019488,0.6369566006063608,0.6362162188314919,0.6378627262019488,
9,0.6410750615697612,0.640513955362411,0.6419248403409873,0.6410750615697612,
Accuracy,,,,,0.6344919695055136
F1score,,,,,0.6338745858796433
Precision,,,,,0.6342975030329047
Recall,,,,,0.6344919695055136
