,0,1,2,3,4
0,0.7778915046059366,0.7770066099887984,0.7768129845696434,0.7778915046059366,
1,0.7563971340839304,0.754060258678314,0.75415021373401,0.7563971340839304,
2,0.7727737973387923,0.7713620799478038,0.7712173928832147,0.7727737973387923,
3,0.7789150460593655,0.7777675371746035,0.7770496158505585,0.7789150460593655,
4,0.781985670419652,0.7801991636072707,0.7813162310909861,0.781985670419652,
5,0.7961065573770492,0.7941300107704727,0.7946962784011041,0.7961065573770492,
6,0.7827868852459017,0.7822569916991186,0.7819335987630306,0.7827868852459017,
7,0.7930327868852459,0.792015563943008,0.7935887284112059,0.7930327868852459,
8,0.7971311475409836,0.7945517079490053,0.7945052820480012,0.7971311475409836,
9,0.8165983606557377,0.8145390114200809,0.8153096474911284,0.8165983606557377,
Accuracy,,,,,0.7853618890212595
F1score,,,,,0.7837888935178475
Precision,,,,,0.7840579973242883
Recall,,,,,0.7853618890212595
