,0,1,2,3,4
0,0.6660933985976981,0.6610194218399377,0.6693747043057067,0.6660933985976981,
1,0.6484984786347401,0.6440307994086699,0.6523721814990837,0.6484984786347401,
2,0.6815716364598492,0.6793302879415539,0.6841534872533644,0.6815716364598492,
3,0.6713851038497156,0.6673746607961356,0.6723403284570582,0.6713851038497156,
4,0.6363275565550999,0.6353257147082882,0.6429640372554947,0.6363275565550999,
5,0.6696215930140249,0.6672766594602074,0.6702936951518873,0.6696215930140249,
6,0.6717385551733263,0.6692552311491531,0.6723676200161768,0.6717385551733263,
7,0.6722677957131517,0.6697967646783001,0.6724830739398433,0.6722677957131517,
8,0.6664461497750728,0.6635298820437033,0.6671746026376549,0.6664461497750728,
9,0.6542736173590897,0.6520975626617319,0.6558491664342903,0.6542736173590897,
Accuracy,,,,,0.6638223885131769
F1score,,,,,0.6609036984687682
Precision,,,,,0.665937289695056
Recall,,,,,0.6638223885131769
