,0,1,2,3,4
0,0.7908723281340265,0.7907191463675309,0.7906146426999491,0.7908723281340265,
1,0.7856730213749278,0.7858114758688296,0.7861630319472234,0.7856730213749278,
2,0.782206816868862,0.7823092901554454,0.7827147374765263,0.782206816868862,
3,0.7937608318890814,0.7923887874370769,0.7919826147923267,0.7937608318890814,
4,0.806470248411323,0.806233213188613,0.806287130436478,0.806470248411323,
5,0.8214904679376083,0.8208082792785732,0.8205261897950009,0.8214904679376083,
6,0.8035817446562681,0.8038954519045163,0.8042555582671373,0.8035817446562681,
7,0.7764298093587522,0.7759951161591211,0.7756788215875224,0.7764298093587522,
8,0.7914500288850376,0.7923595139619453,0.7936580511259932,0.7914500288850376,
9,0.7891392258809936,0.7891653006442857,0.7894039027188077,0.7891392258809936,
Accuracy,,,,,0.794107452339688
F1score,,,,,0.7939685574965938
Precision,,,,,0.7941284680846965
Recall,,,,,0.794107452339688
