,0,1,2,3,4
0,0.8474853801169591,0.8471559235838144,0.8500623585917096,0.8474853801169591,
1,0.8409356725146199,0.8406949430093925,0.8424762183207651,0.8409356725146199,
2,0.8495906432748538,0.8495600043542414,0.8506788259131004,0.8495906432748538,
3,0.8421052631578947,0.841606317455832,0.8443740203693781,0.8421052631578947,
4,0.8470175438596491,0.846796171291404,0.8481716613152419,0.8470175438596491,
5,0.8474853801169591,0.8473849068607234,0.8486417522481309,0.8474853801169591,
6,0.8530994152046784,0.8533479139309557,0.8558861783798325,0.8530994152046784,
7,0.8486549707602339,0.848206198005737,0.8495575714321488,0.8486549707602339,
8,0.8421052631578947,0.8421638778610466,0.844643295523052,0.8421052631578947,
9,0.8538011695906432,0.8537228621754954,0.854246961821357,0.8538011695906432,
Accuracy,,,,,0.8472280701754386
F1score,,,,,0.8470639118528643
Precision,,,,,0.8488738843914716
Recall,,,,,0.8472280701754386
